filename,cell_structure,symmetry_number,space_group_name_Hall,space_group_name_H-M,cell_angle_alpha,cell_angle_beta,cell_angle_gamma,cell_length_a,cell_length_b,cell_length_c
1000005.cif,monoclinic,14,P2_1/c,P2_1/c,90.0,105.999,90.0,11.217,8.178,19.887
1000007.cif,monoclinic,15,C2/c,C2/c,90.0,105.866,90.0,9.74,8.917,5.25
1000008.cif,monoclinic,15,C2/c,C2/c,90.0,105.851,90.0,9.738,8.915,5.249
1000009.cif,monoclinic,15,C2/c,C2/c,90.0,105.606,90.0,9.681,8.849,5.218
1000010.cif,monoclinic,15,C2/c,C2/c,90.0,105.421,90.0,9.634,8.795,5.193
1000011.cif,monoclinic,15,C2/c,C2/c,90.0,105.337,90.0,9.614,8.77,5.181
1000012.cif,monoclinic,15,C2/c,C2/c,90.0,105.203,90.0,9.573,8.72,5.158
1000013.cif,monoclinic,15,C2/c,C2/c,90.0,105.148,90.0,9.556,8.695,5.147
1000014.cif,monoclinic,15,C2/c,C2/c,90.0,105.106,90.0,9.539,8.675,5.138
1000015.cif,monoclinic,15,C2/c,C2/c,90.0,105.067,90.0,9.527,8.659,5.131
1000016.cif,monoclinic,15,C2/c,C2/c,90.0,105.033,90.0,9.516,8.645,5.125
1000017.cif,trigonal,167,R-3c,R-3c,90.0,90.0,120.0,4.761,4.761,12.994
1000022.cif,orthorhombic,62,Pnma,Pnma,90.0,90.0,90.0,5.38,5.44,7.639
1000027.cif,orthorhombic,63,Cmcm,Cmcm,90.0,90.0,90.0,5.182,7.893,6.506
1000030.cif,orthorhombic,47,Pmmm,Pmmm,90.0,90.0,90.0,3.82,3.885,11.683
1000031.cif,orthorhombic,65,Cmmm,Cmmm,90.0,90.0,90.0,3.84,3.871,27.231
1000032.cif,trigonal,167,R-3c,R-3c,90.0,90.0,120.0,4.761,4.76,12.996
1000034.cif,triclinic,2,P-1,P-1,93.113,115.913,91.261,8.173,12.869,14.165
1000037.cif,orthorhombic,62,Pnma,Pnma,90.0,90.0,90.0,8.884,5.458,7.153
1000038.cif,monoclinic,12,C2/m,C2/m,90.0,100.23,90.0,5.345,9.258,10.222
